"DateTime";"Average";"AirPredict-Padova-Mortise A";"AirPredict-Padova-Mortise B"
"2025-02-07 11:00:00";138,1;108;96
"2025-02-07 11:10:00";;110;96
"2025-02-07 11:20:00";;107;94
"2025-02-07 11:30:00";;108;96
"2025-02-07 11:40:00";;105;95
"2025-02-07 11:50:00";;106;94
"2025-02-07 12:00:00";;106;93
"2025-02-07 12:10:00";;106;94
"2025-02-07 12:20:00";;106;93
"2025-02-07 12:30:00";;105;94
"2025-02-07 12:40:00";;104;94
"2025-02-07 12:50:00";;103;94
"2025-02-07 13:00:00";;105;95
"2025-02-07 13:10:00";;104;93
"2025-02-07 13:20:00";;110;98
"2025-02-07 13:30:00";;108;95
"2025-02-07 13:40:00";;106;94
"2025-02-07 13:50:00";;109;97
"2025-02-07 14:00:00";;110;97
"2025-02-07 14:10:00";;109;97
"2025-02-07 14:20:00";;108;96
"2025-02-07 14:30:00";;112;97
"2025-02-07 14:40:00";;110;96
"2025-02-07 14:50:00";;112;97
"2025-02-07 15:00:00";;111;98
"2025-02-07 15:10:00";;109;98
"2025-02-07 15:20:00";;111;95
"2025-02-07 15:30:00";;111;96
"2025-02-07 15:40:00";;111;97
"2025-02-07 15:50:00";;109;95
"2025-02-07 16:00:00";;110;95
"2025-02-07 16:10:00";;108;94
"2025-02-07 16:20:00";;107;95
"2025-02-07 16:30:00";;109;96
"2025-02-07 16:40:00";;110;97
"2025-02-07 16:50:00";;114;99
"2025-02-07 17:00:00";;115;100
"2025-02-07 17:10:00";;118;104
"2025-02-07 17:20:00";;121;104
"2025-02-07 17:30:00";;123;107
"2025-02-07 17:40:00";;126;110
"2025-02-07 17:50:00";;131;113
"2025-02-07 18:00:00";;135;119
"2025-02-07 18:10:00";;134;119
"2025-02-07 18:20:00";;141;125
"2025-02-07 18:30:00";;137;123
"2025-02-07 18:40:00";;139;125
"2025-02-07 18:50:00";;143;132
"2025-02-07 19:00:00";;144;131
"2025-02-07 19:10:00";;147;133
"2025-02-07 19:20:00";;154;148
"2025-02-07 19:30:00";;154;148
"2025-02-07 19:40:00";;155;152
"2025-02-07 19:50:00";;156;152
"2025-02-07 20:00:00";;159;154
"2025-02-07 20:10:00";;158;153
"2025-02-07 20:20:00";;155;151
"2025-02-07 20:30:00";;155;151
"2025-02-07 20:40:00";;155;152
"2025-02-07 20:50:00";;157;153
"2025-02-07 21:00:00";;160;154
"2025-02-07 21:10:00";;160;155
"2025-02-07 21:20:00";;169;163
"2025-02-07 21:30:00";;169;162
"2025-02-07 21:40:00";;169;162
"2025-02-07 21:50:00";;167;160
"2025-02-07 22:00:00";;167;160
"2025-02-07 22:10:00";;167;160
"2025-02-07 22:20:00";;168;160
"2025-02-07 22:30:00";;171;163
"2025-02-07 22:40:00";;171;164
"2025-02-07 22:50:00";;170;162
"2025-02-07 23:00:00";;173;164
"2025-02-07 23:10:00";;176;166
"2025-02-07 23:20:00";;179;169
"2025-02-07 23:30:00";;182;171
"2025-02-07 23:40:00";;182;171
"2025-02-07 23:50:00";;181;170
"2025-02-08 00:00:00";;181;170
"2025-02-08 00:10:00";;181;171
"2025-02-08 00:20:00";;183;172
"2025-02-08 00:30:00";;183;172
"2025-02-08 00:40:00";;185;173
"2025-02-08 00:50:00";;184;173
"2025-02-08 01:00:00";;182;172
"2025-02-08 01:10:00";;184;173
"2025-02-08 01:20:00";;183;172
"2025-02-08 01:30:00";;183;172
"2025-02-08 01:40:00";;183;171
"2025-02-08 01:50:00";;183;172
"2025-02-08 02:00:00";;183;171
"2025-02-08 02:10:00";;180;170
"2025-02-08 02:20:00";;179;170
"2025-02-08 02:30:00";;180;170
"2025-02-08 02:40:00";;178;168
"2025-02-08 02:50:00";;175;166
"2025-02-08 03:00:00";;174;165
"2025-02-08 03:10:00";;173;163
"2025-02-08 03:20:00";;171;162
"2025-02-08 03:30:00";;169;161
"2025-02-08 03:40:00";;168;160
"2025-02-08 03:50:00";;167;159
"2025-02-08 04:00:00";;165;157
"2025-02-08 04:10:00";;166;158
"2025-02-08 04:20:00";;166;158
"2025-02-08 04:30:00";;166;158
"2025-02-08 04:40:00";;166;158
"2025-02-08 04:50:00";;166;157
"2025-02-08 05:00:00";;164;156
"2025-02-08 05:10:00";;164;156
"2025-02-08 05:20:00";;165;157
"2025-02-08 05:30:00";;165;157
"2025-02-08 05:40:00";;165;157
"2025-02-08 05:50:00";;167;158
"2025-02-08 06:00:00";;166;158
"2025-02-08 06:10:00";;166;157
